"Id","Player","FantPt","Season","Age","Team","G","GS","FantPt","PPR","FantPt","PPR/G","Pos"
154,"Braxton Berrios","0.0",2024,29,"MIA",6,0,"0.0","0.0","0.00","0.00","WR"
155,"JD Bertrand","0.0",2024,24,"ATL",12,0,"0.0","0.0","0.00","0.00","LB"
156,"Tatum Bethune","0.0",2024,23,"SFO",11,1,"0.0","0.0","0.00","0.00","LB"
157,"Tyler Biadasz","0.0",2024,27,"WAS",15,15,"0.0","0.0","0.00","0.00","C"
158,"Tank Bigsby","122.0",2024,23,"JAX",16,1,"122.0","129.0","7.63","8.06","RB"
159,"Andrew Billings","0.0",2024,29,"CHI",8,8,"0.0","0.0","0.00","0.00","LDT"
160,"Beanie Bishop","0.0",2024,25,"PIT",17,6,"0.0","0.0","0.00","0.00","CB"
161,"Cole Bishop","0.0",2024,22,"BUF",16,4,"0.0","0.0","0.00","0.00","S"
162,"Joel Bitonio","0.0",2024,33,"CLE",17,17,"0.0","0.0","0.00","0.00","LG"
163,"Julian Blackmon","0.0",2024,26,"IND",16,16,"0.0","0.0","0.00","0.00","FS"
164,"Raheem Blackshear","8.0",2024,25,"CAR",16,1,"8.0","8.0","0.5","0.5","RB"
165,"Angelo Blackson","0.0",2024,32,"ARI",1,0,"0.0","0.0","0.00","0.00","DL"
166,"Josh Blackwell","0.0",2024,25,"CHI",17,1,"0.0","0.0","0.00","0.00","DB"
167,"Chris Blair","1.7",2024,27,"ATL",4,0,"1.7","2.7","0.43","0.68","WR"
168,"Marquise Blair","0.0",2024,27,"SEA",1,0,"0.0","0.0","0.00","0.00","FS"
169,"DaRon Bland","0.0",2024,25,"DAL",7,7,"0.0","0.0","0.00","0.00","CB"
170,"Reed Blankenship","0.0",2024,25,"PHI",15,15,"0.0","0.0","0.00","0.00","FS"
171,"Khari Blasingame","0.0",2024,28,"CHI,PHI",5,0,"0.0","0.0","0.00","0.00","FB"
172,"Joey Blount","0.0",2024,26,"ARI",15,0,"0.0","0.0","0.00","0.00","S"
173,"Chris Board","0.0",2024,29,"BAL",17,1,"0.0","0.0","0.00","0.00","LB"
174,"Jacob Bobenmoyer","0.0",2024,27,"LVR",17,0,"0.0","0.0","0.00","0.00","LS"
175,"Jake Bobo","16.7",2024,26,"SEA",17,3,"16.7","29.7","0.98","1.75","WR"
176,"Quinton Bohanna","0.0",2024,25,"SEA",1,0,"0.0","0.0","0.00","0.00","DT"
177,"Corey Bojorquez","0.0",2024,28,"CLE",17,0,"0.0","0.0","0.00","0.00","P"
178,"Isaiah Bolden","0.0",2024,25,"NWE",14,0,"0.0","0.0","0.00","0.00","CB"
179,"Garett Bolles","0.0",2024,32,"DEN",17,17,"0.0","0.0","0.00","0.00","LT"
180,"Curtis Bolton","0.0",2024,29,"NYG",1,0,"0.0","0.0","0.00","0.00","LB"
181,"Nick Bolton","0.0",2024,24,"KAN",16,16,"0.0","0.0","0.00","0.00","LLB"
182,"Nik Bonitto","0.0",2024,25,"DEN",17,15,"0.0","0.0","0.00","0.00","ROLB"
183,"Ethan Bonner","0.0",2024,25,"MIA",5,0,"0.0","0.0","0.00","0.00","CB"
184,"Austin Booker","0.0",2024,22,"CHI",17,0,"0.0","0.0","0.00","0.00","DL"
185,"Thomas Booker","0.0",2024,25,"PHI",17,1,"0.0","0.0","0.00","0.00","DT"
186,"Mike Boone","4.9",2024,29,"CAR",6,0,"4.9","5.9","0.82","0.98","RB"
187,"Andrew Booth","0.0",2024,24,"DAL",7,2,"0.0","0.0","0.00","0.00","CB"
188,"Dicaprio Bootle","0.0",2024,27,"LAC",6,0,"0.0","0.0","0.00","0.00","CB"
189,"Larry Borom","0.0",2024,25,"CHI",8,4,"0.0","0.0","0.00","0.00","OL"
190,"Tanor Bortolini","0.0",2024,22,"IND",12,5,"0.0","0.0","0.00","0.00","G"
191,"Joey Bosa","0.0",2024,29,"LAC",14,9,"0.0","0.0","0.00","0.00","ROLB"
192,"Nick Bosa","0.0",2024,27,"SFO",14,14,"0.0","0.0","0.00","0.00","LDE"
193,"Chris Boswell","184.0",2024,33,"PIT",17,0,"184.0","184.0","10.82","10.82","K"
194,"Kendrick Bourne","37.1",2024,29,"NWE",12,9,"37.1","65.1","3.09","5.43","WR"
195,"Kayshon Boutte","78.9",2024,22,"NWE",15,13,"78.9","121.9","5.26","8.13","WR"
196,"Brock Bowers","150.7",2024,22,"LVR",17,16,"150.7","262.7","8.86","15.45","TE"
197,"Tyus Bowser","0.0",2024,29,"MIA,SEA",9,5,"0.0","0.0","0.00","0.00","LOLB"
198,"Khristian Boyd","0.0",2024,24,"NOR",6,0,"0.0","0.0","0.00","0.00","DT"
199,"Kris Boyd","0.0",2024,28,"HOU",17,0,"0.0","0.0","0.00","0.00","CB"
200,"Tyler Boyd","39.3",2024,30,"TEN",16,8,"39.3","78.3","2.46","4.89","WR"
201,"Tim Boyle","13.9",2024,30,"MIA,NYG",3,0,"13.9","13.9","4.63","4.63","QB"
202,"Bradley Bozeman","0.0",2024,30,"LAC",17,17,"0.0","0.0","0.00","0.00","C"
203,"Swayze Bozeman","0.0",2024,26,"KAN",3,0,"0.0","0.0","0.00","0.00","LB"
204,"Garrett Bradbury","0.0",2024,29,"MIN",17,17,"0.0","0.0","0.00","0.00","C"
205,"Beau Brade","0.0",2024,22,"BAL",11,0,"0.0","0.0","0.00","0.00","S"
206,"Anthony Bradford","0.0",2024,23,"SEA",11,11,"0.0","0.0","0.00","0.00","RG"
207,"Millard Bradford","0.0",2024,25,"NOR",3,0,"0.0","0.0","0.00","0.00","S"
208,"Brian Branch","0.0",2024,23,"DET",16,16,"0.0","0.0","0.00","0.00","SS"
209,"Blake Brandel","0.0",2024,27,"MIN",17,17,"0.0","0.0","0.00","0.00","LG"
210,"Chris Braswell","0.0",2024,23,"TAM",17,0,"0.0","0.0","0.00","0.00","OLB"
211,"Christian Braswell","0.0",2024,25,"JAX",3,0,"0.0","0.0","0.00","0.00","CB"
212,"Ben Bredeson","0.0",2024,26,"TAM",17,17,"0.0","0.0","0.00","0.00","LG"
